pl_name,hostname,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
HD 63433 b,HD 63433,0.072,2.14,21.755,G5 V,5553.0,0.74800,0.414,G7V,0.00100,0.1,1.23,35.6,0.04394682,144.28959,0.10848083,144.28959,0.12250775,144.28959,0.15731718,144.28959,0.16876786,144.28959,0.09720716,90.01825
HD 63433 c,HD 63433,0.146,2.692,15.539,G5 V,5553.0,0.74800,0.414,G7V,0.00100,0.1,1.23,26.9,0.04170063,35.09088,0.10293621,35.09088,0.11624619,35.09088,0.14927646,35.09088,0.16014188,35.09088,0.09223875,21.89222
HD 63935 b,HD 63935,0.083,2.91575244,10.5,,5513.0,0.76800,6.6,G8V,0.00100,0.1,1.23,21.2,0.36867737,111.48176,0.91006413,111.48176,1.02773840,111.48176,1.31976063,111.48176,1.41582231,111.48176,1.36008432,115.99732
HD 63935 c,HD 63935,0.148,3.06451296,11.1,,5513.0,0.76800,6.6,G8V,0.00100,0.1,1.23,21.3,0.12046040,35.06199,0.29735130,35.06199,0.33579979,35.06199,0.43121415,35.06199,0.46260103,35.06199,0.44438938,36.48217
HD 66428 b,HD 66428,3.395,12.4,3478.949743022,G8 IV (+ G),5716.0,1.24678,3.515,G3V,0.00100,0.1,1.23,187.3,0.00000025,0.10817,0.00000062,0.10817,0.00000070,0.10817,0.00000090,0.10817,0.00000096,0.10817,0.00000086,0.10466
HD 66428 c,HD 66428,9.408,13.5,560.649309948,G8 IV (+ G),5716.0,1.24678,3.515,G3V,0.00100,0.1,1.23,72.0,0.00000162,0.01409,0.00000400,0.01409,0.00000452,0.01409,0.00000581,0.01409,0.00000623,0.01409,0.00000556,0.01363
HD 68402 b,HD 68402,2.18,12.6,2510.8444153,G5 IV/V,5950.0,1.17001,2.0,G0V,0.00100,0.1,1.23,157.8,0.00000115,0.24619,0.00000284,0.24619,0.00000320,0.24619,0.00000411,0.24619,0.00000441,0.24619,0.00000364,0.21977
HD 68988 c,HD 68988,13.2,12.2,4776.96095721,G2 V,5883.41,1.66663,6.0,G1V,0.00100,0.1,1.23,221.2,0.00000001,0.00957,0.00000003,0.00957,0.00000003,0.00957,0.00000004,0.00957,0.00000004,0.00957,0.00000004,0.00985
HD 70642 b,HD 70642,3.318,13.0,1239.5307873,G6 V,5732.0,1.02811,0.919,G3V,0.00100,0.1,1.23,109.2,0.00000196,0.09339,0.00000485,0.09339,0.00000548,0.09339,0.00000703,0.09339,0.00000754,0.09339,0.00000538,0.07210
HD 72659 b,HD 72659,4.607,13.2,949.671280116,G2 V,5929.0,2.36576,8.0,G0V,0.00100,0.1,1.23,94.8,0.00000418,0.11146,0.00001032,0.11146,0.00001166,0.11146,0.00001497,0.11146,0.00001606,0.11146,0.00001572,0.11824
HD 72659 c,HD 72659,21.5,12.1,6165.8710958,G2 V,5929.0,2.36576,8.0,G0V,0.00100,0.1,1.23,252.4,0.00000000,0.00512,0.00000001,0.00512,0.00000001,0.00512,0.00000001,0.00512,0.00000001,0.00512,0.00000001,0.00543
HD 73256 c,HD 73256,3.8,12.2,5085.254512,G8 IV,5570.0,0.73794,2.2,G7V,0.00100,0.1,1.23,228.3,0.00000005,0.05110,0.00000013,0.05110,0.00000015,0.05110,0.00000019,0.05110,0.00000020,0.05110,0.00000017,0.04630
HD 73267 b,HD 73267,2.229,13.0,1321.530516306,K0 V,5387.0,0.78343,8.14,G9V,0.00100,0.1,1.23,112.7,0.00000292,0.15768,0.00000720,0.15768,0.00000813,0.15768,0.00001044,0.15768,0.00001120,0.15768,0.00001099,0.16754
HD 73267 c,HD 73267,12.688,12.8,1630.777556317,K0 V,5387.0,0.78343,8.14,G9V,0.00100,0.1,1.23,126.2,0.00000006,0.00487,0.00000014,0.00487,0.00000016,0.00487,0.00000020,0.00487,0.00000022,0.00487,0.00000021,0.00517
HD 73344 b,HD 73344,0.131,2.884,10.48,F6 V,6252.6,1.82743,1.15,F7V,0.00100,0.1,1.23,21.3,0.34208177,106.48720,0.84441405,106.48720,0.95359955,106.48720,1.22455591,106.48720,1.31368791,106.48720,0.98130449,86.15809
HD 73344 d,HD 73344,6.7,13.2,810.46243785,F6 V,6148.0,1.82743,1.15,F8V,0.00100,0.1,1.23,87.6,0.00000210,0.04071,0.00000518,0.04071,0.00000584,0.04071,0.00000751,0.04071,0.00000805,0.04071,0.00000601,0.03294
HD 73583 b,HD 73583,0.0604,2.79,10.2,K4 V,4511.0,0.18020,0.48,K5V,0.00100,0.1,1.23,21.4,0.15165534,49.39422,0.37435465,49.39422,0.42275993,49.39422,0.54288319,49.39422,0.58239814,49.39422,0.35135826,32.27702
HD 73583 c,HD 73583,0.1242,2.39,9.7,K4 V,4511.0,0.18020,0.48,K5V,0.00100,0.1,1.23,22.5,0.02493023,11.68172,0.06153920,11.68172,0.06949643,11.68172,0.08924318,11.68172,0.09573894,11.68172,0.05775889,7.63351
HD 74156 c,HD 74156,3.678,12.5,2753.983146655,G0,6068.0,2.51623,3.7,F9V,0.00100,0.1,1.23,165.9,0.00000070,0.18601,0.00000174,0.18601,0.00000196,0.18601,0.00000252,0.18601,0.00000271,0.18601,0.00000243,0.18115
HD 75302 b,HD 75302,5.3,12.8,1716.2733978,G5 V,5697.46,0.84045,2.1,G4V,0.00100,0.1,1.23,129.5,0.00000031,0.02992,0.00000077,0.02992,0.00000087,0.02992,0.00000112,0.02992,0.00000120,0.02992,0.00000100,0.02691
HD 75898 c,HD 75898,7.39,12.6,2698.36317543,F8 V,6122.0,2.88403,3.2,F8V,0.00100,0.1,1.23,163.6,0.00000021,0.05281,0.00000053,0.05281,0.00000059,0.05281,0.00000076,0.05281,0.00000082,0.05281,0.00000072,0.05047
HD 77946 b,HD 77946,0.073,2.89646124,10.9,F5,6007.0,2.03601,3.1,F9.5V,0.00100,0.1,1.23,21.7,1.14935387,382.06238,2.83713032,382.06238,3.20398056,382.06238,4.11436157,382.06238,4.41383445,382.06238,3.87818067,363.60793
HD 80653 b,HD 80653,0.01661,1.613,5.72,G2,5959.0,1.73780,2.67,G0V,0.00100,0.1,1.23,21.1,11.88341040,6298.84230,29.33368455,6298.84230,33.12662598,6298.84230,42.53924591,6298.84230,45.63555869,6298.84230,39.27784731,5872.08200
HD 81040 b,HD 81040,1.946,12.6,2301.07766668,G2/G3,5755.0,0.83799,1.79,G2V,0.00100,0.1,1.23,151.1,0.00000123,0.22129,0.00000304,0.22129,0.00000343,0.22129,0.00000440,0.22129,0.00000472,0.22129,0.00000382,0.19401
HD 81817 b,HD 81817,3.233,12.0,7668.563804096,K3 III,4140.0,1822.88806,0.15,K7V,0.00100,0.1,1.23,282.6,0.00007538,174.40085,0.00018606,174.40085,0.00021012,174.40085,0.00026983,174.40085,0.00028946,174.40085,0.00010456,68.23254
HD 82943 b,HD 82943,1.18306,13.5,534.25,G2/3V,5935.0,1.56333,2.35,G0V,0.00100,0.1,1.23,70.3,0.00014162,1.11696,0.00034958,1.11696,0.00039478,1.11696,0.00050695,1.11696,0.00054385,1.11696,0.00045947,1.02211
HD 82943 c,HD 82943,0.74345,13.4,622.603,G2/3V,5935.0,1.56333,2.35,G0V,0.00100,0.1,1.23,76.2,0.00025823,2.82844,0.00063743,2.82844,0.00071985,2.82844,0.00092439,2.82844,0.00099168,2.82844,0.00083780,2.58825
HD 83443 c,HD 83443,8.0,13.6,476.7426105,K0 V,5442.0,0.78699,2.64,G8V,0.00100,0.1,1.23,66.2,0.00000200,0.01230,0.00000494,0.01230,0.00000558,0.01230,0.00000717,0.01230,0.00000769,0.01230,0.00000661,0.01145
HD 86226 b,HD 86226,2.73,14.3,143.0235,G1 V,5863.0,1.17999,4.6,G1V,0.00100,0.1,1.23,35.4,0.00033290,0.15833,0.00082176,0.15833,0.00092801,0.15833,0.00119170,0.15833,0.00127844,0.15833,0.00118030,0.15833
HD 86226 c,HD 86226,0.049,2.16,7.25,G1 V,5863.0,1.17999,4.6,G1V,0.00100,0.1,1.23,20.5,1.38593351,491.45962,3.42111693,491.45962,3.86347855,491.45962,4.96124972,491.45962,5.32236522,491.45962,4.91380142,491.45962
HD 86264 b,HD 86264,2.763,12.5,3117.261015856,F7 V,6210.0,4.57088,2.24,F8V,0.00100,0.1,1.23,176.6,0.00000177,0.59874,0.00000437,0.59874,0.00000493,0.59874,0.00000634,0.59874,0.00000680,0.59874,0.00000570,0.54396
HD 87883 b,HD 87883,3.77,12.7,2005.49724817,K0,4980.0,0.33800,7.6,K2V,0.00100,0.1,1.23,140.5,0.00000018,0.02378,0.00000044,0.02378,0.00000050,0.02378,0.00000064,0.02378,0.00000068,0.02378,0.00000067,0.02510
HD 88133 b,HD 88133,0.0479,13.8,324.1866,G5,5392.0,3.13892,5.37,G9V,0.00100,0.1,1.23,54.2,0.50318239,1368.07206,1.24208395,1368.07206,1.40268947,1368.07206,1.80125052,1368.07206,1.93235851,1368.07206,1.81573955,1392.39319
HD 88986 b,HD 88986,0.58,2.49,17.2,G2 V,5861.0,2.47400,7.9,G1V,0.00100,0.1,1.23,29.4,0.00564488,7.35435,0.01393413,7.35435,0.01573586,7.35435,0.02020706,7.35435,0.02167788,7.35435,0.02120376,7.79161
HD 89307 b,HD 89307,3.27,13.4,642.01338214,G0 V,5955.0,1.35304,2.31,G0V,0.00100,0.1,1.23,77.4,0.00001086,0.12654,0.00002682,0.12654,0.00003029,0.12654,0.00003889,0.12654,0.00004172,0.12654,0.00003516,0.11549
HD 89345 b,HD 89345,0.1066,7.39794,34.9613,G5,5576.0,2.65999,7.53,G6V,0.00100,0.1,1.23,24.3,1.14049182,234.08069,2.81525473,234.08069,3.17927638,234.08069,4.08263793,234.08069,4.37980173,234.08069,4.26387545,246.83272
HD 89839 b,HD 89839,4.713,12.8,1748.0562385,F7 V,6314.0,2.37023,1.6,F7V,0.00100,0.1,1.23,130.7,0.00000108,0.10671,0.00000266,0.10671,0.00000300,0.10671,0.00000386,0.10671,0.00000414,0.10671,0.00000329,0.09179
HD 95338 b,HD 95338,0.262,4.27174254,42.9,K0.5 V,5097.0,0.49000,9.5,K2V,0.00100,0.1,1.23,35.4,0.00444700,7.13834,0.01097723,7.13834,0.01239663,7.13834,0.01591901,7.13834,0.01707771,7.13834,0.01699815,7.69585
HD 97658 b,HD 97658,0.0805,2.12,8.3,K1 V,5212.0,0.35100,3.9,K1V,0.00100,0.1,1.23,22.1,0.11018918,54.16494,0.27199723,54.16494,0.30716736,54.16494,0.39444608,54.16494,0.42315671,54.16494,0.38298824,53.09939
HD 98649 b,HD 98649,5.97,12.5,3082.9355479,G3/G5 V,5759.0,0.96801,4.44,G2V,0.00100,0.1,1.23,175.6,0.00000008,0.02716,0.00000020,0.02716,0.00000023,0.02716,0.00000029,0.02716,0.00000032,0.02716,0.00000029,0.02705
HIP 29442 c,TOI-469,0.04518,1.551,4.5,,5289.0,0.70923,11.2,K0V,0.00100,0.1,1.23,19.0,0.94162337,347.45418,2.32435656,347.45418,2.62490347,347.45418,3.37074516,347.45418,3.61609228,347.45418,3.65261552,380.14482
HIP 29442 d,TOI-469,0.0673,1.538,5.14,,5289.0,0.70923,11.2,K0V,0.00100,0.1,1.23,20.4,0.31715529,156.58850,0.78288411,156.58850,0.88411359,156.58850,1.13532617,156.58850,1.21796338,156.58850,1.23026505,171.32131
HIP 39017 b,HIP 39017,22.1,12.0,7500.7504052,A9/F0,7201.0,5.59603,0.115,F0V,0.00100,0.1,1.23,279.5,0.00000001,0.01146,0.00000001,0.01146,0.00000001,0.01146,0.00000002,0.01146,0.00000002,0.01146,0.00000001,0.00368
HIP 54597 b,HIP 54597,4.0,13.3,762.7881768,K5 V,4799.0,0.20800,4.3,K3V,0.00100,0.1,1.23,84.7,0.00000077,0.01300,0.00000191,0.01300,0.00000216,0.01300,0.00000277,0.01300,0.00000297,0.01300,0.00000272,0.01290
HIP 56640 b,HIP 56640,4.55,12.7,2151.69831539,K1 III,4769.0,11.22018,9.15,K3V,0.00100,0.1,1.23,145.5,0.00000353,0.54197,0.00000871,0.54197,0.00000983,0.54197,0.00001263,0.54197,0.00001354,0.54197,0.00001343,0.58228
HIP 66074 b,HIP 66074,0.799,12.9,1589.142035,,4300.0,0.15200,7.9,K6V,0.00100,0.1,1.23,124.1,0.00000298,0.23809,0.00000735,0.23809,0.00000830,0.23809,0.00001066,0.23809,0.00001143,0.23809,0.00001118,0.25225
HIP 67851 c,HIP 67851,4.55,12.7,2204.775659359,K0 III,4840.0,14.68013,5.46,K3V,0.00100,0.1,1.23,147.3,0.00000439,0.70910,0.00001085,0.70910,0.00001225,0.70910,0.00001573,0.70910,0.00001688,0.70910,0.00001589,0.72303
HIP 8152 b,HIP 8152,0.093,2.53625843,8.9,,5618.0,0.83100,6.0,G6V,0.00100,0.1,1.23,20.9,0.29107434,96.08025,0.71850441,96.08025,0.81140938,96.08025,1.04196374,96.08025,1.11780537,96.08025,1.06309887,98.97571
HIP 8152 c,HIP 8152,0.139,2.52442508,10.7,,5618.0,0.83100,6.0,G6V,0.00100,0.1,1.23,23.0,0.08889137,43.01009,0.21942451,43.01009,0.24779682,43.01009,0.31820596,43.01009,0.34136728,43.01009,0.32466043,44.30624
HIP 9618 b,HIP 9618,0.145,3.82838127,8.3,,5649.0,0.84801,5.6,G5V,0.00100,0.1,1.23,16.5,0.48319527,40.33332,1.19274663,40.33332,1.34697267,40.33332,1.72970231,40.33332,1.85560251,40.33332,1.75168353,41.24029
HIP 9618 c,HIP 9618,0.269,3.42855926,7.0,,5649.0,0.84801,5.6,G5V,0.00100,0.1,1.23,16.0,0.14177631,11.71913,0.34996868,11.71913,0.39522078,11.71913,0.50751905,11.71913,0.54445994,11.71913,0.51396865,11.98266
HIP 97166 b,HIP 97166,0.091,2.4801338,19.1,K0 V,5216.0,0.47300,1.2,K1V,0.00100,0.1,1.23,31.0,0.03513218,57.11856,0.08672227,57.11856,0.09793575,57.11856,0.12576327,57.11856,0.13491723,57.11856,0.10162951,46.60330
HN Peg b,HN Peg,773.0,11.7768,6991.57,G0 V,6186.0,1.14879,0.3,F8V,0.00100,0.1,1.23,272.4,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
HR 2562 b,HR 2562,27.0,12.44199,4195.3349724,F5 V,6597.0,3.39993,0.5,F5V,0.00100,0.1,1.23,205.3,0.00000001,0.00466,0.00000002,0.00466,0.00000002,0.00466,0.00000003,0.00466,0.00000003,0.00466,0.00000002,0.00308
HR 810 b,HR 810,0.92,12.7,1970.5361234,G0V,6167.0,1.79098,2.72,F8V,0.00100,0.1,1.23,139.3,0.00001642,2.11599,0.00004053,2.11599,0.00004577,2.11599,0.00005877,2.11599,0.00006305,2.11599,0.00005441,1.97782
HR 8799 b,HR 8799,68.0,13.0,2000.0,A5 V,7204.58,4.92006,0.06,F0V,0.00100,0.1,1.23,138.7,0.00000001,0.00106,0.00000002,0.00106,0.00000002,0.00106,0.00000003,0.00106,0.00000003,0.00106,0.00000001,0.00018
HR 8799 c,HR 8799,38.0,13.0,3000.0,A5 V,7204.58,4.92006,0.06,F0V,0.00100,0.1,1.23,169.8,0.00000001,0.00341,0.00000003,0.00341,0.00000003,0.00341,0.00000004,0.00341,0.00000005,0.00341,0.00000001,0.00058
HR 8799 d,HR 8799,24.0,13.0,3000.0,A5 V,7204.58,4.92006,0.06,F0V,0.00100,0.1,1.23,169.8,0.00000003,0.00854,0.00000008,0.00854,0.00000009,0.00854,0.00000011,0.00854,0.00000012,0.00854,0.00000002,0.00145
K2-100 b,K2-100,0.0301,3.88,21.8,G0 V,5945.0,1.77701,0.75,G0V,0.00100,0.1,1.23,26.5,3.54575329,1961.35862,8.75253863,1961.35862,9.88427052,1961.35862,12.69279324,1961.35862,13.61666617,1961.35862,9.26330357,1445.23738
K2-105 b,K2-105,0.0796,3.4,15.4,K1,5373.0,0.64726,0.6,G9V,0.00100,0.1,1.23,23.8,0.24901098,102.15364,0.61467282,102.15364,0.69415203,102.15364,0.89138882,102.15364,0.95627052,102.15364,0.61467282,71.12204
K2-107 b,K2-107,0.0475,15.98,266.9772,F9 IV,6061.0,2.91380,4.25,F9V,0.00100,0.1,1.23,45.7,1.08748700,1291.43568,2.68441462,1291.43568,3.03151822,1291.43568,3.89289567,1291.43568,4.17624867,1291.43568,3.81966264,1279.37691
K2-108 b,K2-108,0.0581,5.33,59.4,,5599.0,2.54326,7.8,G6V,0.00100,0.1,1.23,37.3,0.47557147,753.42102,1.17392759,753.42102,1.32572027,753.42102,1.70241125,753.42102,1.82632500,753.42102,1.78416090,797.22472
K2-110 b,K2-110,0.10207,2.592,15.9,K3 V,5010.0,0.27097,8.0,K2V,0.00100,0.1,1.23,27.7,0.02635141,26.00901,0.06504731,26.00901,0.07345814,26.00901,0.09433058,26.00901,0.10119664,26.00901,0.09910455,27.58915
K2-111 b,K2-111,0.0565,1.837,5.35,G2,5775.0,1.89998,12.3,G2V,0.00100,0.1,1.23,19.1,1.89601743,595.18654,4.68023701,595.18654,5.28540698,595.18654,6.78720578,595.18654,7.28122751,595.18654,7.41413343,656.44141
K2-113 b,K2-113,0.0642,12.14,410.0007,G,5660.0,1.02000,5.9,G5V,0.00100,0.1,1.23,65.0,0.03874236,247.47421,0.09563385,247.47421,0.10799962,247.47421,0.13868670,247.47421,0.14878132,247.47421,0.14124540,254.47371
K2-114 b,K2-114,0.0944,10.59248676,638.83509807,,4899.0,0.36000,7.6,K3V,0.00100,0.1,1.23,86.8,0.00173038,40.39764,0.00427137,40.39764,0.00482367,40.39764,0.00619427,40.39764,0.00664514,40.39764,0.00647517,42.63737
K2-115 b,K2-115,0.1415,11.80305668,321.00669107,G4,5870.0,0.77999,2.2,G1V,0.00100,0.1,1.23,58.3,0.00914327,38.95625,0.02256978,38.95625,0.02548812,38.95625,0.03273033,38.95625,0.03511268,38.95625,0.02937049,35.29485
K2-12 b,K2-12,0.0792,2.44,5.2,F9,5672.0,1.17980,8.9,G4V,0.00100,0.1,1.23,16.3,1.48624958,188.08737,3.66874280,188.08737,4.14312325,188.08737,5.32035285,188.08737,5.70760646,188.08737,5.64674016,201.55357
K2-131 b,K2-131,0.00936,1.69,7.9,,5120.0,0.33185,5.3,K2V,0.00100,0.1,1.23,24.2,4.30887157,3787.81101,10.63626310,3787.81101,12.01156673,3787.81101,15.42454071,3787.81101,16.54724990,3787.81101,15.52596229,3849.53324
K2-132 b,K2-132,0.0916,14.5717,155.7367,,4840.0,8.77991,8.5,K3V,0.00100,0.1,1.23,36.5,1.96343757,1046.40318,4.84666072,1046.40318,5.47334982,1046.40318,7.02855081,1046.40318,7.54013937,1046.40318,7.42740323,1116.46150
K2-138 b,K2-138,0.03385,1.51,3.1,G8 V,5356.3,0.51696,2.8,G9V,0.00100,0.1,1.23,16.0,2.37749397,451.17253,5.86874103,451.17253,6.62758846,451.17253,8.51075552,451.17253,9.13022963,451.17253,7.91106314,423.43122
K2-138 c,K2-138,0.04461,2.299,6.31,G8 V,5356.3,0.51696,2.8,G9V,0.00100,0.1,1.23,18.5,1.16606582,259.77392,2.87838304,259.77392,3.25056738,259.77392,4.17418560,259.77392,4.47801291,259.77392,3.88006044,243.80116
K2-138 d,K2-138,0.05893,2.39,7.92,G8 V,5356.3,0.51696,2.8,G9V,0.00100,0.1,1.23,20.4,0.47654045,148.86312,1.17631950,148.86312,1.32842146,148.86312,1.70587995,148.86312,1.83004618,148.86312,1.58567873,139.70995
K2-138 e,K2-138,0.0782,3.39,12.97,G8 V,5356.3,0.51696,2.8,G9V,0.00100,0.1,1.23,21.9,0.28796185,84.53693,0.71082137,84.53693,0.80273290,84.53693,1.03082192,84.53693,1.10585256,84.53693,0.95818723,79.33900
K2-138 f,K2-138,0.10447,2.904,1.63,G8 V,5356.3,0.51696,2.8,G9V,0.00100,0.1,1.23,8.4,6.42185883,47.36710,15.85208073,47.36710,17.90180666,47.36710,22.98843704,47.36710,24.66170111,47.36710,21.36860544,44.45463
K2-138 g,K2-138,0.23109,3.013,4.32,G8 V,5356.3,0.51696,2.8,G9V,0.00100,0.1,1.23,13.4,0.20868773,9.68050,0.51513663,9.68050,0.58174548,9.68050,0.74704300,9.68050,0.80141818,9.68050,0.69440420,9.08527
K2-139 b,K2-139,0.1796,9.11,123.00021,K0 V,5370.0,0.50179,1.8,G9V,0.00100,0.1,1.23,41.1,0.01143458,15.55634,0.02822576,15.55634,0.03187544,15.55634,0.04093255,15.55634,0.04391191,15.55634,0.03557725,13.65163
K2-140 b,K2-140,0.068,13.56286665,295.58041851,G6 V,5585.0,0.89300,9.8,G6V,0.00100,0.1,1.23,52.2,0.08111565,193.12219,0.20023047,193.12219,0.22612093,193.12219,0.29037107,193.12219,0.31150636,193.12219,0.31093682,208.79711
K2-141 b,K2-141,0.00747,1.51,4.97,K7 V,4570.0,0.17783,6.3,K4V,0.00100,0.1,1.23,20.3,6.53350424,3186.82926,16.12767260,3186.82926,18.21303346,3186.82926,23.38809601,3186.82926,25.09045014,3186.82926,23.98611306,3299.87349
K2-141 c,K2-141,0.0683,7.0,8.0,K7 V,4570.0,0.17783,6.3,K4V,0.00100,0.1,1.23,12.0,3.00498325,38.12050,7.41767116,38.12050,8.37680032,38.12050,10.75698953,38.12050,11.53996073,38.12050,11.03203813,39.47272
K2-146 b,K2-146,0.0248,2.05,5.77,M3.0 V,3385.0,0.01500,5.0,M3V,0.00100,0.6,1.23,18.8,0.09282520,24.38859,0.55695122,59.28057,0.82537871,77.79253,1.49151237,109.47095,1.71063926,117.03530,1.49151237,110.52802
K2-146 c,K2-146,0.0327,2.19,7.49,M3.0 V,3385.0,0.01500,5.0,M3V,0.00100,0.6,1.23,20.7,0.03863069,14.02796,0.23178417,34.09732,0.34349457,44.74513,0.62071675,62.96609,0.71190992,67.31700,0.62071675,63.57410
K2-157 b,K2-157,0.00962,0.935,1.14,G9 V,5334.0,0.61631,8.8,G9V,0.00100,0.1,1.23,12.3,61.60902023,6659.62624,152.07920146,6659.62624,171.74354004,6659.62624,220.54285536,6659.62624,236.59555326,6659.62624,233.82422047,7128.85602
K2-167 b,K2-167,0.0932,2.36509493,6.5,F7 V,6310.0,3.21004,5.3,F7V,0.00100,0.1,1.23,18.5,1.70202725,369.55423,4.20138065,369.55423,4.74463292,369.55423,6.09277584,369.55423,6.53625196,369.55423,6.13283791,375.57610
K2-180 b,K2-180,0.0756,2.46597575,11.4100398113,K2 V,5365.0,0.38600,7.5,G9V,0.00100,0.1,1.23,24.0,0.11442155,67.53772,0.28244464,67.53772,0.31896565,67.53772,0.40959675,67.53772,0.43941015,67.53772,0.42761054,71.18882
K2-182 b,K2-182,0.05174,2.71257333,20.976674862,,5128.0,0.38800,6.2,K2V,0.00100,0.1,1.23,31.1,0.09669803,144.93629,0.23869491,144.93629,0.26955894,144.93629,0.34615159,144.93629,0.37134699,144.93629,0.35440472,149.82483
K2-19 b,K2-19,0.07487,6.59,30.8,G9,5350.0,0.51055,1.7,G9V,0.00100,0.1,1.23,24.2,0.40415547,91.08028,0.99764030,91.08028,1.12663845,91.08028,1.44676219,91.08028,1.55206797,91.08028,1.24551788,79.16817
K2-19 c,K2-19,0.0982,3.88,11.12,G9,5350.0,0.51055,1.7,G9V,0.00100,0.1,1.23,18.9,0.36785100,52.94403,0.90802429,52.94403,1.02543480,52.94403,1.31680247,52.94403,1.41264885,52.94403,1.13363553,46.01965
K2-19 d,K2-19,0.03478,1.044,6.2,G9,5350.0,0.51055,1.7,G9V,0.00100,0.1,1.23,27.2,0.18376732,422.06646,0.45362168,422.06646,0.51227644,422.06646,0.65783499,422.06646,0.70571696,422.06646,0.56633028,366.86573
K2-199 b,K2-199,0.0382,1.73,6.9,,4491.0,0.18500,5.04,K5V,0.00100,0.1,1.23,22.3,0.20279289,126.77782,0.50058547,126.77782,0.56531281,126.77782,0.72594114,126.77782,0.77878037,126.77782,0.72659766,128.11776
K2-199 c,K2-199,0.0662,2.85,12.4,,4491.0,0.18500,5.04,K5V,0.00100,0.1,1.23,23.3,0.09347911,42.21376,0.23074913,42.21376,0.26058575,42.21376,0.33462874,42.21376,0.35898543,42.21376,0.33493137,42.65993
K2-222 b,K2-222,0.1186,2.275,7.5,G0,5942.0,1.33999,7.1,G0V,0.00100,0.1,1.23,20.3,0.29330645,95.26440,0.72401429,95.26440,0.81763170,95.26440,1.04995408,95.26440,1.12637730,95.26440,1.09013736,99.86540
K2-229 b,K2-229,0.0131,1.0,2.55,G9,5315.0,0.40861,5.4,K0V,0.00100,0.1,1.23,17.9,5.38587617,2381.04393,13.29480236,2381.04393,15.01386382,2381.04393,19.27991234,2381.04393,20.68324326,2381.04393,19.44699298,2424.86909
K2-229 c,K2-229,0.0769,2.03,7.0,G9,5315.0,0.40861,5.4,K0V,0.00100,0.1,1.23,20.8,0.17350767,69.09670,0.42829617,69.09670,0.48367627,69.09670,0.62110834,69.09670,0.66631708,69.09670,0.62649090,70.36849
K2-232 b,K2-232,0.10356,11.209,126.49634,,6154.0,1.73002,1.43,F8V,0.00100,0.1,1.23,37.6,0.20882376,161.31172,0.51547243,161.31172,0.58212470,161.31172,0.74752997,161.31172,0.80194059,161.31172,0.62434552,136.03034
K2-233 b,K2-233,0.03293,1.315,2.4,K3,4796.0,0.30000,0.36,K3V,0.00100,0.1,1.23,15.1,1.60642565,276.65374,3.96539223,276.65374,4.47813043,276.65374,5.75054916,276.65374,6.16911556,276.65374,3.38873083,164.60301
K2-233 c,K2-233,0.0664,1.272,4.6,K3,4796.0,0.30000,0.36,K3V,0.00100,0.1,1.23,21.3,0.09734168,68.04306,0.24028372,68.04306,0.27135319,68.04306,0.34845566,68.04306,0.37381877,68.04306,0.20534081,40.48416
K2-233 d,K2-233,0.1516,2.363,10.3,K3,4796.0,0.30000,0.36,K3V,0.00100,0.1,1.23,23.3,0.02387853,13.05334,0.05894312,13.05334,0.06656466,13.05334,0.08547839,13.05334,0.09170012,13.05334,0.05037141,7.76646
K2-237 b,K2-237,0.03552,16.06246934,434.153603962,F9 V,6180.0,2.01002,1.09,F8V,0.00100,0.1,1.23,58.1,0.51519723,1593.14053,1.27174207,1593.14053,1.43618248,1593.14053,1.84426026,1593.14053,1.97849880,1593.14053,1.46206887,1275.18500
K2-238 b,K2-238,0.046,14.5717,273.3338,G2 V,5630.0,2.29087,5.63,G5V,0.00100,0.1,1.23,48.4,0.65947394,1082.64067,1.62788290,1082.64067,1.83837348,1082.64067,2.36073006,1082.64067,2.53256100,1082.64067,2.39212558,1107.63193
K2-24 b,K2-24,0.154,5.4,19.0,G9 V,5625.0,1.43999,5.1,G6V,0.00100,0.1,1.23,21.0,0.38954887,60.71815,0.96158454,60.71815,1.08592057,60.71815,1.39447471,60.71815,1.49597463,60.71815,1.39760463,61.44205
K2-24 c,K2-24,0.247,7.5,15.4,G9 V,5625.0,1.43999,5.1,G6V,0.00100,0.1,1.23,16.0,0.61755801,23.60294,1.52441523,23.60294,1.72152711,23.60294,2.21068289,23.60294,2.37159231,23.60294,2.21564480,23.88434
K2-25 b,K2-25,0.0287,3.44,24.5,M4.5 V,3207.0,0.00816,0.73,M4V,0.00100,0.6,1.23,29.8,0.00988186,9.90664,0.05929116,24.07975,0.08786705,31.59930,0.15878140,44.46706,0.18210891,47.53970,0.07066069,19.97976
